CNE;NoteElmt1;NoteElmt2;NoteModule
16960326;17;8;12.5
16190909;12;10;11
16140917;13;5;9
16611129;8;19;13.5
16710306;18;6;12
16321018;16;12;14
16900109;8;16;12
16451027;12;7;9.5
16260505;12;10;11
16840512;15;9;12
16400812;20;13;16.5
16620114;17;6;11.5
16630421;13;10;11.5
16260719;7;12;9.5
16220810;15;19;17
16620924;12;20;16
16670803;18;14;16
16910623;7;8;7.5
16831007;6;14;10
16710804;8;17;12.5
16220417;20;6;13
16561208;14;14;14
16890119;18;15;16.5
16071009;7;14;10.5
16730502;18;7;12.5
16420108;8;16;12
16211229;12;8;10
16830606;14;11;12.5
16700925;7;8;7.5
16090106;11;12;11.5
16110903;19;16;17.5
16970303;18;17;17.5
16240406;13;20;16.5
16440328;10;16;13
16790120;8;12;10
16220130;14;6;10
16430701;12;13;12.5
16390813;9;20;14.5
