CNE;NoteElmt1;NoteElmt2;NoteModule
253990339;15;9;12
175738863;11;20;15.5
212278545;13;12;12.5
282145701;8;11;9.5
236284729;20;10;15
176607832;6;6;6
172073295;5;18;11.5
291487900;14;14;14
199456652;16;7;11.5
208222781;11;17;14
212213540;14;12;13
156271412;10;16;13
294896005;16;6;11
205721768;5;15;10
171110844;10;13;11.5
264069167;20;15;17.5
228558737;20;16;18
156572439;13;12;12.5
282567739;9;15;12
271929808;17;9;13
158952736;17;10;13.5
272834464;11;5;8
253209923;16;7;11.5
262204801;18;8;13
162234549;5;15;10
221042566;14;12;13
291724747;18;16;17
291625115;18;9;13.5
162297169;6;8;7
223213078;14;16;15
213207998;8;18;13
202412338;14;12;13
295430418;14;14;14
