CNE;NoteElmt1;NoteElmt2;NoteModule
187349082;8;15;11.5
195003603;12;9;10.5
181385492;14;8;11
191593229;18;20;19
184388256;6;5;5.5
191834513;18;18;18
173799304;11;8;9.5
178729539;19;16;17.5
187793784;13;9;11
198012327;13;20;16.5
174873310;11;15;13
186455166;14;5;9.5
193026033;18;9;13.5
189876898;11;16;13.5
184092273;10;11;10.5
163263347;11;12;11.5
160178804;11;7;9
161373907;10;9;9.5
173921748;11;10;10.5
196061530;17;19;18
193710775;17;7;12
161551408;14;9;11.5
191342069;10;18;14
180806967;17;13;15
182146215;18;11;14.5
176851333;11;5;8
