CNE;NoteElmt1;NoteElmt2;NoteModule
288053062;7;5;6
235940312;10;12;11
294585441;8;7;7.5
185463291;8;14;11
278500645;20;9;14.5
246813080;18;5;11.5
227348823;15;8;11.5
221356590;12;6;9
294038887;20;9;14.5
296273074;19;8;13.5
226299332;19;17;18
230123094;20;9;14.5
191568658;6;15;10.5
240621398;14;20;17
221160310;11;17;14
296887694;15;11;13
271963461;9;19;14
185162486;7;17;12
209255448;13;10;11.5
194910614;16;10;13
189353425;13;16;14.5
184360315;10;15;12.5
218118187;5;19;12
228759693;19;5;12
217009019;5;7;6
253172430;7;18;12.5
270185581;14;20;17
