CNE;NoteElmt1;NoteElmt2;NoteModule
251881103;19;16;17.5
255568226;12;18;15
341062185;12;20;16
202494596;11;8;9.5
210910547;8;12;10
233205753;16;15;15.5
354928604;10;15;12.5
181489388;7;5;6
270051286;16;11;13.5
378320299;17;7;12
216131447;20;7;13.5
383318553;7;15;11
228211841;13;7;10
369818034;9;10;9.5
234559474;12;5;8.5
208587108;8;7;7.5
250482377;6;9;7.5
245580817;11;12;11.5
240340903;11;13;12
306944921;12;12;12
170142748;6;13;9.5
386648008;16;20;18
280975576;16;16;16
291083805;9;13;11
396620290;13;12;12.5
254355908;19;14;16.5
185394551;18;18;18
259349478;5;13;9
201706012;17;20;18.5
