CNE;NoteElmt1;NoteElmt2;NoteModule
247531668;7;5;6
214699024;16;11;13.5
227531549;17;12;14.5
271065834;5;18;11.5
271003620;5;14;9.5
266770209;11;7;9
224520568;18;18;18
195307711;9;18;13.5
227893607;16;9;12.5
255759846;10;9;9.5
273094493;17;15;16
299450023;5;14;9.5
297218245;17;12;14.5
238488274;9;13;11
257732857;14;13;13.5
273107665;5;9;7
256555331;10;5;7.5
208824502;18;19;18.5
198687278;7;10;8.5
257932061;14;18;16
227131978;13;16;14.5
248315811;19;10;14.5
218872153;9;15;12
191797231;8;17;12.5
291531820;17;18;17.5
